event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1700,102,RB Leipzig,away, 85 ,Substitution, Emil Forsberg , Dani Olmo 
1701,102,RB Leipzig,away, 85 ,Substitution, Alexander Sorloth , André Silva 
1702,102,RB Leipzig,away, 86 ,Yellow card, Alexander Sorloth ,
1703,102,VfB Stuttgart,home, 90 ,Substitution, Juan Perea , Silas Katompa Mvumpa 
1704,102,VfB Stuttgart,home, 91 ,Substitution, Atakan Karazor , Naouirou Ahamada 
1705,102,VfB Stuttgart,home, 94 ,Yellow card, Clinton Mola ,
1706,103,Borussia Dortmund,home, 10 ,Goal, Marco Reus ,
1707,103,Bayer Leverkusen,away, 13 ,Substitution, Charles Aránguiz , Robert Andrich 
1708,103,Borussia Dortmund,home, 23 ,Substitution, Thorgan Hazard , Karim Adeyemi 
1709,103,Bayer Leverkusen,away, 27 ,Yellow card, Jonathan Tah ,
1710,103,Bayer Leverkusen,away, 37 ,Yellow card, Exequiel Palacios ,
1711,103,Borussia Dortmund,home, 43 ,Yellow card, Thorgan Hazard ,
1712,103,Bayer Leverkusen,away, 45 ,Substitution, Adam Hložek , Karim Bellarabi 
1713,103,Bayer Leverkusen,away, 56 ,Yellow card, Piero Hincapié ,
1714,103,Bayer Leverkusen,away, 66 ,Substitution, Sardar Azmoun , Kerem Demirbay 
1715,103,Borussia Dortmund,home, 68 ,Substitution, Julian Brandt , Youssoufa Moukoko 
1716,103,Borussia Dortmund,home, 72 ,Yellow card, Nico Schlotterbeck ,
1717,103,Bayer Leverkusen,away, 78 ,Substitution, Mitchel Bakker , Piero Hincapié 
1718,103,Bayer Leverkusen,away, 79 ,Substitution, Nadiem Amiri , Exequiel Palacios 
1719,103,Borussia Dortmund,home, 84 ,Substitution, Marius Wolf , Raphaël Guerreiro 
1720,103,Borussia Dortmund,home, 84 ,Substitution, Emre Can , Donyell Malen 
1721,103,Bayer Leverkusen,away, 92 ,Red card, Lukás Hrádecký ,
1722,103,Bayer Leverkusen,away, 95 ,Yellow card, Mitchel Bakker ,
1723,104,VfL Wolfsburg,home, 11 ,Goal, Lukas Nmecha , Patrick Wimmer 
1724,104,Werder Bremen,away, 21 ,Goal, Niclas Füllkrug , Jens Stage 
1725,104,Werder Bremen,away, 23 ,Goal, Leonardo Bittencourt , Marvin Ducksch 
1726,104,VfL Wolfsburg,home, 45 ,Substitution, Josuha Guilavogui , Mattias Svanberg 
1727,104,VfL Wolfsburg,home, 52 ,Yellow card, Micky van de Ven ,
1728,104,Werder Bremen,away, 56 ,Yellow card, Mitchell Weiser ,
1729,104,VfL Wolfsburg,home, 56 ,Substitution, Jonas Wind , Josip Brekalo 
1730,104,Werder Bremen,away, 58 ,Yellow card, Amos Pieper ,
1731,104,VfL Wolfsburg,home, 67 ,Substitution, Luca Waldschmidt , Omar Marmoush 
1732,104,VfL Wolfsburg,home, 67 ,Substitution, Jakub Kamiński , Patrick Wimmer 
1733,104,Werder Bremen,away, 69 ,Substitution, Lee Buchanan , Anthony Jung 
1734,104,Werder Bremen,away, 75 ,Substitution, Felix Agu , Mitchell Weiser 
1735,104,Werder Bremen,away, 75 ,Substitution, Nicolai Rapp , Leonardo Bittencourt 
1736,104,VfL Wolfsburg,home, 76 ,Substitution, Max Kruse , Ridle Baku 
1737,104,Werder Bremen,away, 80 ,Substitution, Oliver Burke , Niclas Füllkrug 
1738,104,VfL Wolfsburg,home, 84 ,Goal, Josuha Guilavogui ,
1739,104,VfL Wolfsburg,home, 93 ,Yellow card, Lukas Nmecha ,
1740,105,VfL Bochum,home, 13 ,Yellow card, Constantinos Stafylidis ,
1741,105,Mainz 05,away, 26 ,Goal, Karim Onisiwo , Edimilson Fernandes 
1742,105,Mainz 05,away, 33 ,Yellow card, Anton Stach ,
